simulation_id;case_directory;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;swmm_instability_warning;swmm_not_converging_percent;swmm_instability_elements;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_0001;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T50\1_1a\sim_0001;scenario1;1_1a;1_1a-1_1a_0;0.715275;T50;NO;;YES;76.2;Node Brunnm_Fassung (76.20%), Node Brunnmuehle(Teich) (76.20%), Node Fensterstollen (76.20%), Node Gischeren (76.20%), Node Schuettstein (76.20%);1.69419;0.0286038;0.520922;0
sim_0002;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T50\1_1a\sim_0002;scenario1;1_1a;1_1a-1_1a_1;0.126225;T50;NO;;YES;76.2;Node Brunnm_Fassung (76.20%), Node Brunnmuehle(Teich) (76.20%), Node Fensterstollen (76.20%), Node Gischeren (76.20%), Node Schuettstein (76.20%);1.69419;0.0286038;0.520922;0
sim_0003;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T50\1_1a\sim_0003;scenario1;1_1a;1_1a-1_1a_2;0.126225;T50;NO;;YES;76.2;Node Brunnm_Fassung (76.20%), Node Brunnmuehle(Teich) (76.20%), Node Fensterstollen (76.20%), Node Gischeren (76.20%), Node Schuettstein (76.20%);1.69419;0.0286038;0.520922;0
sim_0004;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T50\1_1a\sim_0004;scenario1;1_1a;1_1a-1_1a_3;0.007225;T50;NO;;YES;73.92;Node Brunnm_Fassung (73.92%), Node Brunnmuehle(Teich) (73.92%), Node Fensterstollen (73.92%), Node Gischeren (73.92%), Node Schuettstein (73.92%);1.70801;0.0288508;0.520347;0.190216
sim_0005;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T50\1_1a\sim_0005;scenario1;1_1a;1_1a-1_1a_1+1_1a_2;0.022275;T50;NO;;YES;76.2;Node Brunnm_Fassung (76.20%), Node Brunnmuehle(Teich) (76.20%), Node Fensterstollen (76.20%), Node Gischeren (76.20%), Node Schuettstein (76.20%);1.69419;0.0286038;0.520922;0
sim_0006;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T50\1_1a\sim_0006;scenario1;1_1a;1_1a-1_1a_1+1_1a_3;0.001275;T50;NO;;YES;74.34;Node Brunnm_Fassung (74.34%), Node Brunnmuehle(Teich) (74.34%), Node Fensterstollen (74.34%), Node Gischeren (74.34%), Node Schuettstein (74.34%);1.74589;0.0291034;0.520318;0.158471
sim_0007;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T50\1_1a\sim_0007;scenario1;1_1a;1_1a-1_1a_2+1_1a_3;0.001275;T50;NO;;YES;74.27;Node Brunnm_Fassung (74.27%), Node Brunnmuehle(Teich) (74.27%), Node Fensterstollen (74.27%), Node Gischeren (74.27%), Node Schuettstein (74.27%);1.7656;0.0292288;0.520306;0.134178
sim_0008;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T50\1_1a\sim_0008;scenario1;1_1a;1_1a-1_1a_1+1_1a_2+1_1a_3;0.000225;T50;NO;;YES;74.72;Node Brunnm_Fassung (74.72%), Node Brunnmuehle(Teich) (74.72%), Node Fensterstollen (74.72%), Node Gischeren (74.72%), Node Schuettstein (74.72%);1.77544;0.0292915;0.5203;0.117532
sim_0009;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T50\1_1b\sim_0009;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_0;0.49611474;T50;NO;;YES;76.2;Node Brunnm_Fassung (76.20%), Node Brunnmuehle(Teich) (76.20%), Node Fensterstollen (76.20%), Node Gischeren (76.20%), Node Schuettstein (76.20%);1.69419;0.0286038;0.520922;0
sim_0010;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T50\1_1b\sim_0010;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1;0.08754966;T50;NO;;YES;76.2;Node Brunnm_Fassung (76.20%), Node Brunnmuehle(Teich) (76.20%), Node Fensterstollen (76.20%), Node Gischeren (76.20%), Node Schuettstein (76.20%);1.69419;0.0286038;0.520922;0
