simulation_id;case_directory;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;swmm_instability_warning;swmm_not_converging_percent;swmm_instability_elements;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_0001;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1a\sim_0001;scenario1;1_1a;1_1a-1_1a_0;0.715275;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0002;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1a\sim_0002;scenario1;1_1a;1_1a-1_1a_1;0.126225;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0003;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1a\sim_0003;scenario1;1_1a;1_1a-1_1a_2;0.126225;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0004;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1a\sim_0004;scenario1;1_1a;1_1a-1_1a_3;0.007225;T10;NO;;YES;63.87;Node Brunnm_Fassung (63.87%), Node Brunnmuehle(Teich) (63.87%), Node Fensterstollen (63.87%), Node Gischeren (63.87%), Node Schuettstein (63.87%);1.57158;0.0309933;0.454631;0.190361
sim_0005;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1a\sim_0005;scenario1;1_1a;1_1a-1_1a_1+1_1a_2;0.022275;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0006;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1a\sim_0006;scenario1;1_1a;1_1a-1_1a_1+1_1a_3;0.001275;T10;NO;;YES;63.92;Node Brunnm_Fassung (63.92%), Node Brunnmuehle(Teich) (63.92%), Node Fensterstollen (63.92%), Node Gischeren (63.92%), Node Schuettstein (63.92%);1.59958;0.031183;0.454614;0.156084
sim_0007;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1a\sim_0007;scenario1;1_1a;1_1a-1_1a_2+1_1a_3;0.001275;T10;NO;;YES;64.04;Node Brunnm_Fassung (64.04%), Node Brunnmuehle(Teich) (64.04%), Node Fensterstollen (64.04%), Node Gischeren (64.04%), Node Schuettstein (64.04%);1.62089;0.0313251;0.454602;0.130811
sim_0008;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1a\sim_0008;scenario1;1_1a;1_1a-1_1a_1+1_1a_2+1_1a_3;0.000225;T10;NO;;YES;63.16;Node Brunnm_Fassung (63.16%), Node Brunnmuehle(Teich) (63.16%), Node Fensterstollen (63.16%), Node Gischeren (63.16%), Node Schuettstein (63.16%);1.64042;0.0314668;0.454589;0.114024
sim_0009;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0009;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_0;0.49611474;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0010;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0010;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1;0.08754966;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0011;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0011;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_2;0.08754966;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0012;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0012;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_3;0.0206714475;T10;NO;;YES;65.18;Node Brunnm_Fassung (65.18%), Node Brunnmuehle(Teich) (65.18%), Node Fensterstollen (65.18%), Node Gischeren (65.18%), Node Schuettstein (65.18%);1.6084;0.0312383;0.454729;0.100914
sim_0013;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0013;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1+1_1b_2;0.01544994;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0014;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0014;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1+1_1b_3;0.0036479025;T10;NO;;YES;63.93;Node Brunnm_Fassung (63.93%), Node Brunnmuehle(Teich) (63.93%), Node Fensterstollen (63.93%), Node Gischeren (63.93%), Node Schuettstein (63.93%);1.62252;0.0313333;0.45473;0.0818255
sim_0015;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0015;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_2+1_1b_3;0.0036479025;T10;NO;;YES;62.53;Node Brunnm_Fassung (62.53%), Node Brunnmuehle(Teich) (62.53%), Node Fensterstollen (62.53%), Node Gischeren (62.53%), Node Schuettstein (62.53%);1.62938;0.0313808;0.45473;0.0738338
sim_0016;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0016;scenario1;1_1b;1_1a-1_1a_0__1_1b-1_1b_1+1_1b_2+1_1b_3;0.0006437475;T10;NO;;YES;64.12;Node Brunnm_Fassung (64.12%), Node Brunnmuehle(Teich) (64.12%), Node Fensterstollen (64.12%), Node Gischeren (64.12%), Node Schuettstein (64.12%);1.63595;0.0314282;0.45473;0.0640951
sim_0017;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0017;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_0;0.08754966;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0018;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0018;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_1;0.01544994;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0019;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0019;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_2;0.01544994;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0020;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0020;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_3;0.0036479025;T10;NO;;YES;64.59;Node Brunnm_Fassung (64.59%), Node Brunnmuehle(Teich) (64.59%), Node Fensterstollen (64.59%), Node Gischeren (64.59%), Node Schuettstein (64.59%);1.62241;0.0313329;0.454718;0.0891047
sim_0021;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0021;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2;0.00272646;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0022;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0022;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3;0.0006437475;T10;NO;;YES;62.64;Node Brunnm_Fassung (62.64%), Node Brunnmuehle(Teich) (62.64%), Node Fensterstollen (62.64%), Node Gischeren (62.64%), Node Schuettstein (62.64%);1.62936;0.0313806;0.454724;0.0720918
sim_0023;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0023;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_2+1_1b_3;0.0006437475;T10;NO;;YES;63.68;Node Brunnm_Fassung (63.68%), Node Brunnmuehle(Teich) (63.68%), Node Fensterstollen (63.68%), Node Gischeren (63.68%), Node Schuettstein (63.68%);1.63583;0.031428;0.454724;0.0650354
sim_0024;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0024;scenario1;1_1b;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2+1_1b_3;0.0001136025;T10;NO;;YES;63.83;Node Brunnm_Fassung (63.83%), Node Brunnmuehle(Teich) (63.83%), Node Fensterstollen (63.83%), Node Gischeren (63.83%), Node Schuettstein (63.83%);1.64204;0.0314754;0.454725;0.0564931
sim_0025;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0025;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_0;0.08754966;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0026;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0026;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_1;0.01544994;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0027;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0027;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_2;0.01544994;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0028;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0028;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_3;0.0036479025;T10;NO;;YES;62.97;Node Brunnm_Fassung (62.97%), Node Brunnmuehle(Teich) (62.97%), Node Fensterstollen (62.97%), Node Gischeren (62.97%), Node Schuettstein (62.97%);1.62913;0.0313802;0.454713;0.0792364
sim_0029;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0029;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_1+1_1b_2;0.00272646;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0030;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0030;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_1+1_1b_3;0.0006437475;T10;NO;;YES;63.12;Node Brunnm_Fassung (63.12%), Node Brunnmuehle(Teich) (63.12%), Node Fensterstollen (63.12%), Node Gischeren (63.12%), Node Schuettstein (63.12%);1.63577;0.0314278;0.454719;0.0640717
sim_0031;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0031;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_2+1_1b_3;0.0006437475;T10;NO;;YES;63.61;Node Brunnm_Fassung (63.61%), Node Brunnmuehle(Teich) (63.61%), Node Fensterstollen (63.61%), Node Gischeren (63.61%), Node Schuettstein (63.61%);1.64195;0.0314751;0.454719;0.0578114
sim_0032;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0032;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_1+1_1b_2+1_1b_3;0.0001136025;T10;NO;;YES;63.76;Node Brunnm_Fassung (63.76%), Node Brunnmuehle(Teich) (63.76%), Node Fensterstollen (63.76%), Node Gischeren (63.76%), Node Schuettstein (63.76%);1.6476;0.0315224;0.45472;0.0502309
sim_0033;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0033;scenario1;1_1b;1_1a-1_1a_3__1_1b-1_1b_0;0.00501126;T10;NO;;YES;63.95;Node Brunnm_Fassung (63.95%), Node Brunnmuehle(Teich) (63.95%), Node Fensterstollen (63.95%), Node Gischeren (63.95%), Node Schuettstein (63.95%);1.58536;0.0310883;0.454623;0.171977
sim_0034;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0034;scenario1;1_1b;1_1a-1_1a_3__1_1b-1_1b_1;0.00088434;T10;NO;;YES;63.95;Node Brunnm_Fassung (63.95%), Node Brunnmuehle(Teich) (63.95%), Node Fensterstollen (63.95%), Node Gischeren (63.95%), Node Schuettstein (63.95%);1.58536;0.0310883;0.454623;0.171977
sim_0035;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0035;scenario1;1_1b;1_1a-1_1a_3__1_1b-1_1b_2;0.00088434;T10;NO;;YES;63.95;Node Brunnm_Fassung (63.95%), Node Brunnmuehle(Teich) (63.95%), Node Fensterstollen (63.95%), Node Gischeren (63.95%), Node Schuettstein (63.95%);1.58536;0.0310883;0.454623;0.171977
sim_0036;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0036;scenario1;1_1b;1_1a-1_1a_3__1_1b-1_1b_3;0.0002088025;T10;NO;;YES;62.75;Node Brunnm_Fassung (62.75%), Node Brunnmuehle(Teich) (62.75%), Node Fensterstollen (62.75%), Node Gischeren (62.75%), Node Schuettstein (62.75%);1.63646;0.0316764;0.454202;0.265846
