simulation_id;case_directory;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;swmm_instability_warning;swmm_not_converging_percent;swmm_instability_elements;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_0037;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0037;scenario1;1_1b;1_1a-1_1a_3__1_1b-1_1b_1+1_1b_2;0.00015606;T10;NO;;YES;63.95;Node Brunnm_Fassung (63.95%), Node Brunnmuehle(Teich) (63.95%), Node Fensterstollen (63.95%), Node Gischeren (63.95%), Node Schuettstein (63.95%);1.58536;0.0310883;0.454623;0.171977
sim_0038;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0038;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_0;0.01544994;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0039;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0039;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_1;0.00272646;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0040;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0040;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_2;0.00272646;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0041;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0041;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_3;0.0006437475;T10;NO;;YES;64.34;Node Brunnm_Fassung (64.34%), Node Brunnmuehle(Teich) (64.34%), Node Fensterstollen (64.34%), Node Gischeren (64.34%), Node Schuettstein (64.34%);1.63574;0.0314273;0.454707;0.0718986
sim_0042;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0042;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_1+1_1b_2;0.00048114;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0043;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0043;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_1+1_1b_3;0.0001136025;T10;NO;;YES;63.61;Node Brunnm_Fassung (63.61%), Node Brunnmuehle(Teich) (63.61%), Node Fensterstollen (63.61%), Node Gischeren (63.61%), Node Schuettstein (63.61%);1.64194;0.0314749;0.454713;0.0581439
sim_0044;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0044;scenario1;1_1b;1_1a-1_1a_1+1_1a_2__1_1b-1_1b_2+1_1b_3;0.0001136025;T10;NO;;YES;62.98;Node Brunnm_Fassung (62.98%), Node Brunnmuehle(Teich) (62.98%), Node Fensterstollen (62.98%), Node Gischeren (62.98%), Node Schuettstein (62.98%);1.64753;0.0315221;0.454713;0.0524523
sim_0045;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0045;scenario1;1_1b;1_1a-1_1a_1+1_1a_3__1_1b-1_1b_0;0.00088434;T10;NO;;YES;64.07;Node Brunnm_Fassung (64.07%), Node Brunnmuehle(Teich) (64.07%), Node Fensterstollen (64.07%), Node Gischeren (64.07%), Node Schuettstein (64.07%);1.60676;0.0312305;0.45461;0.146166
sim_0046;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0046;scenario1;1_1b;1_1a-1_1a_1+1_1a_3__1_1b-1_1b_1;0.00015606;T10;NO;;YES;63.18;Node Brunnm_Fassung (63.18%), Node Brunnmuehle(Teich) (63.18%), Node Fensterstollen (63.18%), Node Gischeren (63.18%), Node Schuettstein (63.18%);1.60676;0.0312305;0.45461;0.146166
sim_0047;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0047;scenario1;1_1b;1_1a-1_1a_1+1_1a_3__1_1b-1_1b_2;0.00015606;T10;NO;;YES;63.74;Node Brunnm_Fassung (63.74%), Node Brunnmuehle(Teich) (63.74%), Node Fensterstollen (63.74%), Node Gischeren (63.74%), Node Schuettstein (63.74%);1.60682;0.0312306;0.45461;0.146166
sim_0048;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0048;scenario1;1_1b;1_1a-1_1a_2+1_1a_3__1_1b-1_1b_0;0.00088434;T10;NO;;YES;63.3;Node Brunnm_Fassung (63.30%), Node Brunnmuehle(Teich) (63.30%), Node Fensterstollen (63.30%), Node Gischeren (63.30%), Node Schuettstein (63.30%);1.62764;0.0313725;0.454598;0.125613
sim_0049;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0049;scenario1;1_1b;1_1a-1_1a_2+1_1a_3__1_1b-1_1b_1;0.00015606;T10;NO;;YES;63.08;Node Brunnm_Fassung (63.08%), Node Brunnmuehle(Teich) (63.08%), Node Fensterstollen (63.08%), Node Gischeren (63.08%), Node Schuettstein (63.08%);1.62764;0.0313725;0.454598;0.125613
sim_0050;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0050;scenario1;1_1b;1_1a-1_1a_2+1_1a_3__1_1b-1_1b_2;0.00015606;T10;NO;;YES;64.3;Node Brunnm_Fassung (64.30%), Node Brunnmuehle(Teich) (64.30%), Node Fensterstollen (64.30%), Node Gischeren (64.30%), Node Schuettstein (64.30%);1.62774;0.0313725;0.454598;0.125613
sim_0051;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_1b\sim_0051;scenario1;1_1b;1_1a-1_1a_1+1_1a_2+1_1a_3__1_1b-1_1b_0;0.00015606;T10;NO;;YES;63.05;Node Brunnm_Fassung (63.05%), Node Brunnmuehle(Teich) (63.05%), Node Fensterstollen (63.05%), Node Gischeren (63.05%), Node Schuettstein (63.05%);1.64039;0.0314669;0.454589;0.111093
sim_0052;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_2a\sim_0052;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_0;0.478494277708;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0053;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_2a\sim_0053;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_1;0.00434555852611;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0054;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_2a\sim_0054;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_2;0.00434555852611;T10;NO;;YES;62.07;Node Brunnm_Fassung (62.07%), Node Brunnmuehle(Teich) (62.07%), Node Fensterstollen (62.07%), Node Gischeren (62.07%), Node Schuettstein (62.07%);1.56382;0.0307591;0.45514;0
sim_0055;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_2a\sim_0055;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_3;0.00434555852611;T10;NO;;YES;62.54;Node Brunnm_Fassung (62.54%), Node Brunnmuehle(Teich) (62.54%), Node Fensterstollen (62.54%), Node Gischeren (62.54%), Node Schuettstein (62.54%);1.56117;0.0309023;0.455125;0.00221431
sim_0056;D:\Users\ISSKA\Documents\GitHub\Twanntunnel_Hydraulic_SWMM\MASS_COMPUTATION\runs\scenario1\T10\1_2a\sim_0056;scenario1;1_2a;1_1a-1_1a_0__1_1b-1_1b_0__1_2a-1_2a_4;0.00434555852611;T10;NO;;YES;56.27;Node Brunnm_Fassung (56.27%), Node Brunnmuehle(Teich) (56.27%), Node Fensterstollen (56.27%), Node Gischeren (56.27%), Node Schuettstein (56.27%);1.47423;0.0318481;0.431004;1.80662
