simulation_id;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_0221;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1__1_2a-1_2a_4;0.000135328812232;Q14_7;YES;Amont_C;0.9;0.0122;0.308;8.7
sim_0222;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1__1_2a-1_2a_1+1_2a_2;1.22902049454e-06;Q14_7;YES;Amont_C;1.34;0.0304;0.416;0
sim_0223;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1__1_2a-1_2a_1+1_2a_3;1.22902049454e-06;Q14_7;YES;Amont_C;1.31;0.0302;0.416;0.224
sim_0224;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1__1_2a-1_2a_1+1_2a_4;1.22902049454e-06;Q14_7;YES;Amont_C;0.902;0.0131;0.31;8.92
sim_0225;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1__1_2a-1_2a_2+1_2a_3;1.22902049454e-06;Q14_7;YES;Amont_C;1.31;0.031;0.416;0.198
sim_0226;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1__1_2a-1_2a_2+1_2a_4;1.22902049454e-06;Q14_7;YES;Amont_C;0.916;0.0139;0.312;7.82
sim_0227;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1__1_2a-1_2a_3+1_2a_4;1.22902049454e-06;Q14_7;YES;Amont_C;0.888;0.0122;0.308;8.72
sim_0228;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1__1_2a-1_2a_1+1_2a_2+1_2a_3;1.11616392037e-08;Q14_7;YES;Amont_C;1.31;0.0304;0.416;0
sim_0229;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1__1_2a-1_2a_1+1_2a_2+1_2a_4;1.11616392037e-08;Q14_7;YES;Amont_C, Syst_Est_interm;0.918;0.015;0.315;7.89
sim_0230;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1__1_2a-1_2a_1+1_2a_3+1_2a_4;1.11616392037e-08;Q14_7;YES;Amont_C;0.89;0.0132;0.311;8.95
sim_0231;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1__1_2a-1_2a_2+1_2a_3+1_2a_4;1.11616392037e-08;Q14_7;YES;Amont_C;0.901;0.0138;0.312;7.82
sim_0232;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1__1_2a-1_2a_1+1_2a_2+1_2a_3+1_2a_4;1.0136705634e-10;Q14_7;YES;Amont_C, Syst_Est_interm;0.904;0.0151;0.315;7.9
sim_0233;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_0;0.0149864418;Q14_7;YES;Amont_C;1.34;0.0295;0.416;0.422
sim_0234;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_1;0.000135328812232;Q14_7;YES;Amont_C;1.34;0.0301;0.416;0.208
sim_0235;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_2;0.000135328812232;Q14_7;YES;Amont_C;1.34;0.0309;0.416;0.188
sim_0236;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_3;0.000135328812232;Q14_7;YES;Amont_C;1.3;0.0294;0.416;0.421
sim_0237;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_4;0.000135328812232;Q14_7;YES;Amont_C;0.903;0.0127;0.31;6.96
sim_0238;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_1+1_2a_2;1.22902049454e-06;Q14_7;YES;Amont_C;1.45;0.0338;0.416;0.0497
sim_0239;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_1+1_2a_3;1.22902049454e-06;Q14_7;YES;Amont_C;1.31;0.0302;0.416;0.224
sim_0240;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_1+1_2a_4;1.22902049454e-06;Q14_7;YES;Amont_C;0.903;0.0133;0.311;7
sim_0241;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_2+1_2a_3;1.22902049454e-06;Q14_7;YES;Amont_C;1.31;0.031;0.416;0.196
sim_0242;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_2+1_2a_4;1.22902049454e-06;Q14_7;YES;Amont_C;0.911;0.014;0.312;6.76
sim_0243;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_3+1_2a_4;1.22902049454e-06;Q14_7;YES;Amont_C;0.889;0.0125;0.309;6.93
sim_0244;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_1+1_2a_2+1_2a_3;1.11616392037e-08;Q14_7;YES;Amont_C;1.42;0.0338;0.416;0.0497
sim_0245;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_1+1_2a_2+1_2a_4;1.11616392037e-08;Q14_7;YES;Amont_C;0.917;0.015;0.314;6.8
sim_0246;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_1+1_2a_3+1_2a_4;1.11616392037e-08;Q14_7;YES;Amont_C;0.89;0.0133;0.311;7
sim_0247;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_2+1_2a_3+1_2a_4;1.11616392037e-08;Q14_7;YES;Amont_C;0.898;0.014;0.312;6.76
sim_0248;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_2__1_2a-1_2a_1+1_2a_2+1_2a_3+1_2a_4;1.0136705634e-10;Q14_7;YES;Amont_C;0.904;0.0151;0.315;6.81
sim_0249;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_0;0.003538465425;Q14_7;YES;Amont_C;1.31;0.0311;0.413;1.3
sim_0250;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_1;3.19526362214e-05;Q14_7;YES;Amont_C;1.31;0.0314;0.413;1.15
sim_0251;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_2;3.19526362214e-05;Q14_7;YES;Amont_C;1.31;0.0314;0.413;1.01
sim_0252;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_3;3.19526362214e-05;Q14_7;YES;Amont_C;1.28;0.0311;0.413;1.32
sim_0253;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_4;3.19526362214e-05;Q14_7;YES;Amont_C;0.86;0.0142;0.309;10.8
sim_0254;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_1+1_2a_2;2.90185394543e-07;Q14_7;YES;Amont_C;1.31;0.0326;0.413;0.838
sim_0255;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_1+1_2a_3;2.90185394543e-07;Q14_7;YES;Amont_C;1.28;0.0314;0.413;1.18
sim_0256;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_1+1_2a_4;2.90185394543e-07;Q14_7;YES;Amont_C;0.857;0.0147;0.309;10.9
sim_0257;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_2+1_2a_3;2.90185394543e-07;Q14_7;YES;Amont_C;1.28;0.0314;0.413;1.02
sim_0258;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_2+1_2a_4;2.90185394543e-07;Q14_7;YES;Amont_C;0.853;0.0145;0.308;9.91
sim_0259;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_3+1_2a_4;2.90185394543e-07;Q14_7;YES;Amont_C;0.847;0.0141;0.309;10.8
sim_0260;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_1+1_2a_2+1_2a_3;2.6353870342e-09;Q14_7;YES;Amont_C;1.28;0.0326;0.413;0.856
sim_0261;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_1+1_2a_2+1_2a_4;2.6353870342e-09;Q14_7;YES;Amont_C, Syst_Est_interm;0.858;0.0153;0.311;9.75
sim_0262;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_1+1_2a_3+1_2a_4;2.6353870342e-09;Q14_7;YES;Amont_C;0.844;0.0147;0.309;10.9
sim_0263;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_2+1_2a_3+1_2a_4;2.6353870342e-09;Q14_7;YES;Amont_C;0.841;0.0146;0.308;9.9
